id,name,temp_avg,temp_max,temp_min,date_time
501,HS0ZGD-1,36.56363636363636,39.4,30.0,2021-03-26
502,HS1AL-10,38.90909090909091,39.4,35.6,2021-03-26
503,HS1AN-10,32.199999999999996,32.2,32.2,2021-03-26
504,HS1FVL-10,36.17,36.7,34.4,2021-03-26
505,HS1HTW-2,35.23,36.7,32.2,2021-03-26
506,HS1IFU-13,25.13636363636363,25.6,21.7,2021-03-26
507,HS1MHE-1,40.49999999999999,41.7,39.4,2021-03-26
508,HS2AB-10,37.269999999999996,38.3,34.4,2021-03-26
509,HS2AR-10,30.6,32.2,28.3,2021-03-26
510,HS2KYA-1,32.00909090909091,32.8,30.0,2021-03-26
511,HS2KYA-5,30.436363636363634,30.6,29.4,2021-03-26
512,HS2PQV-1,34.458333333333336,35.6,32.8,2021-03-26
513,HS2UJE-10,31.999999999999993,33.3,29.4,2021-03-26
514,HS2XQB-3,24.160000000000004,25.0,23.3,2021-03-26
515,HS3AK-10,34.78,35.6,32.8,2021-03-26
516,HS3AU-10,34.349999999999994,34.4,33.9,2021-03-26
517,HS3ICB-2,36.88333333333333,37.2,36.1,2021-03-26
518,HS3LIQ-2,45.190000000000005,45.6,43.9,2021-03-26
519,HS3LSE-5,35.470000000000006,36.7,31.1,2021-03-26
520,HS3MXC-2,37.22,38.3,32.8,2021-03-26
521,HS3NOQ-12,33.954545454545446,34.4,32.2,2021-03-26
522,HS3NOQ-2,33.77272727272727,35.0,30.0,2021-03-26
523,HS3PIK-2,36.61,38.9,31.1,2021-03-26
524,HS3PKX-1,32.53636363636364,32.8,31.7,2021-03-26
525,HS3PQJ-1,38.57272727272727,40.0,35.0,2021-03-26
526,HS3PQJ-3,34.72,36.1,31.7,2021-03-26
527,HS3RVL-3,34.4,35.6,30.6,2021-03-26
528,HS4AC-10,37.52,37.8,35.6,2021-03-26
529,HS4AP-10,36.769999999999996,37.8,34.4,2021-03-26
530,HS4LWD-1,33.94,36.1,28.9,2021-03-26
531,HS4RAY-1,36.2,38.3,28.9,2021-03-26
532,HS4YYZ-1,36.64,37.8,32.8,2021-03-26
533,HS5AC-10,33.93,34.4,32.8,2021-03-26
534,HS5AM-10,37.230000000000004,40.0,33.3,2021-03-26
535,HS5FXK,34.9,37.2,31.7,2021-03-26
536,HS5GDX-1,33.25454545454546,34.4,31.7,2021-03-26
537,HS5GDX-2,34.054545454545455,34.4,30.6,2021-03-26
538,HS5SQI-1,34.82,37.2,29.4,2021-03-26
539,HS5WFI-13,35.4,37.2,30.0,2021-03-26
540,HS5ZEZ-1,31.179999999999996,31.7,30.6,2021-03-26
541,HS6AB-10,37.800000000000004,38.3,36.1,2021-03-26
542,HS6NYW-3,44.099999999999994,45.0,39.4,2021-03-26
543,HS6TUX,37.4,38.3,35.6,2021-03-26
544,HS7AJ-10,34.19,34.4,33.3,2021-03-26
545,HS7AM-10,33.78333333333334,35.0,31.7,2021-03-26
546,HS7AP-10,33.61,36.7,30.0,2021-03-26
547,HS7AT-11,34.71,38.9,27.2,2021-03-26
548,HS8AK-10,34.554545454545455,35.6,31.1,2021-03-26
549,HS8AT-10,36.46,38.3,31.7,2021-03-26
550,HS8INB-1,32.4909090909091,33.3,30.6,2021-03-26
551,HS8KAY,33.09090909090909,33.9,32.8,2021-03-26
552,HS8KF-10,36.24,38.9,33.3,2021-03-26
553,HS9AN-10,27.940000000000005,28.3,26.7,2021-03-26
554,HS9AT-10,32.41818181818182,33.9,27.8,2021-03-26
555,HS5FXK-2,32.5,35.0,30.6,2021-03-26
556,E29RZQ,33.3,33.3,33.3,2021-03-26
557,HS2GJW-1,32.2,32.2,32.2,2021-03-26
370,DW2642,34.833333333333336,36.1,32.8,2021-03-25
