date,temp
2021-03-04,27.5
2021-03-05,28.8
2021-03-06,28.9
2021-03-07,28.9
2021-03-08,28.9
2021-03-09,29.4
2021-03-10,27.8
2021-03-11,27.8
2021-03-12,28.3



